"Date","low","volume","close","open","high"
2020-01-22,1.83000004291534,1731700,1.85000002384186,1.9099999666214,1.9099999666214
2020-01-23,1.79999995231628,1214600,1.80999994277954,1.8400000333786,1.87999999523163
2020-01-24,1.75,1210400,1.76999998092651,1.82000005245209,1.87000000476837
2020-01-27,1.70000004768372,1441700,1.76999998092651,1.74000000953674,1.83000004291534
2020-01-28,1.75,806400,1.82000005245209,1.76999998092651,1.84500002861023
2020-01-29,1.74000000953674,966500,1.76999998092651,1.82000005245209,1.82000005245209
2020-01-30,1.71000003814697,884200,1.73000001907349,1.75,1.79999995231628
2020-01-31,1.66999995708466,1388600,1.74000000953674,1.73000001907349,1.76999998092651
2020-02-03,1.72000002861023,1096400,1.77999997138977,1.74000000953674,1.79999995231628
2020-02-04,1.76999998092651,3083800,1.94000005722046,1.76999998092651,1.95000004768372
2020-02-05,1.95000004768372,3162300,2.01999998092651,2,2.04999995231628
2020-02-06,1.96000003814697,2100500,1.99000000953674,2.01999998092651,2.09999990463257
2020-02-07,1.9099999666214,1357500,1.91999995708466,1.97000002861023,2.01999998092651
2020-02-10,1.88999998569489,882600,1.97000002861023,1.88999998569489,1.98000001907349
2020-02-11,1.92999994754791,877300,1.99000000953674,1.97000002861023,2.02999997138977
2020-02-12,1.95000004768372,733800,1.97000002861023,2,2.00999999046326
2020-02-13,1.91999995708466,6982000,2.30999994277954,1.95000004768372,2.40000009536743
2020-02-14,2.10999989509583,5530000,2.1800000667572,2.34999990463257,2.44000005722046
2020-02-18,2.04999995231628,2135900,2.0699999332428,2.21000003814697,2.28999996185303
2020-02-19,2.07999992370605,2629200,2.22000002861023,2.14000010490417,2.25999999046326
2020-02-20,2.14000010490417,8414100,2.54999995231628,2.22000002861023,2.66000008583069
2020-02-21,2.45000004768372,5535800,2.6800000667572,2.53999996185303,2.83999991416931
2020-02-24,2.40000009536743,3301900,2.4300000667572,2.59999990463257,2.59999990463257
2020-02-25,2.45000004768372,2173600,2.5,2.5,2.58500003814697
2020-02-26,2.22000002861023,3549400,2.23000001907349,2.53999996185303,2.61999988555908
2020-02-27,1.79999995231628,4357900,1.86000001430511,2.10999989509583,2.14000010490417
2020-02-28,1.80999994277954,2657400,2.01999998092651,1.8400000333786,2.03999996185303
